"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7772","Error message verification: ""not registered Email""","English","Fri Dec 19 11:08:10 IST 2025","passed","Fri Dec 19 11:08:18 IST 2025","Login","","",""
"","373059","ICD & CPT Codes Generation and Regeneration","English","Fri Dec 19 11:27:04 IST 2025","passed","Fri Dec 19 11:33:18 IST 2025","First Encounter E2E flow","","",""
"","0","HayNoki update","","Fri Dec 19 11:33:36 IST 2025","skipped","Fri Dec 19 11:33:36 IST 2025","","","",""
"","8223","Error messge verification: ""Email is not provided""","English","Fri Dec 19 11:07:53 IST 2025","passed","Fri Dec 19 11:08:01 IST 2025","Login","","",""
"","74065","Offline Mode Stop and App Kill Verification for the First Encounter","English","Fri Dec 19 11:16:39 IST 2025","passed","Fri Dec 19 11:17:53 IST 2025","First Encounter E2E flow","","",""
"","5349","Login UI Verification","English","Fri Dec 19 11:07:21 IST 2025","passed","Fri Dec 19 11:07:26 IST 2025","Login","","",""
"","74920","Offline Mode Stop and App Kill Verification","English","Fri Dec 19 11:39:10 IST 2025","passed","Fri Dec 19 11:40:25 IST 2025","New Encounter E2E Flow","","",""
"","14186","Verify Rest Password mail generation -Es","Spanish","Fri Dec 19 12:06:58 IST 2025","passed","Fri Dec 19 12:07:12 IST 2025","Forgot Password","","",""
"","10335","Error message verifcation: ""Email not Enterd""","English","Fri Dec 19 11:06:56 IST 2025","passed","Fri Dec 19 11:07:07 IST 2025","Forgot Password","","",""
"the thrusg=h hold we got less then 85% check over it","9420","Transcript Verification for the Second Conversation","English","Fri Dec 19 11:50:10 IST 2025","passed","Fri Dec 19 11:50:19 IST 2025","New Encounter E2E Flow","","",""
"","90558","SOAP Note Generation and Verification for the Draft Conversation","English","Fri Dec 19 11:52:54 IST 2025","passed","Fri Dec 19 11:54:24 IST 2025","New Encounter E2E Flow","","",""
"","19037","Verify Settings screen launguage and general settings","English","Fri Dec 19 12:15:51 IST 2025","broken","Fri Dec 19 12:16:10 IST 2025","Settings screen","","",""
"","11221","Error message verification: ""Email is not rigisterd""","English","Fri Dec 19 11:06:35 IST 2025","passed","Fri Dec 19 11:06:46 IST 2025","Forgot Password","","",""
"","77982","App Killed in Offline and Reopened in Online Mode Verification","English","Fri Dec 19 11:37:52 IST 2025","passed","Fri Dec 19 11:39:10 IST 2025","New Encounter E2E Flow","","",""
"","306254","Third Conversation {Draft Creation and Completion of Draft Transcript}","English","Fri Dec 19 13:00:22 IST 2025","passed","Fri Dec 19 13:05:28 IST 2025","New Encounter E2E flow -Es","","",""
"","14347","Error message verification: ""short Password""","English","Fri Dec 19 11:07:39 IST 2025","passed","Fri Dec 19 11:07:53 IST 2025","Login","","",""
"","12071","Verify Error message when Invalid mail is Entered -Es","Spanish","Fri Dec 19 12:06:33 IST 2025","passed","Fri Dec 19 12:06:45 IST 2025","Forgot Password","","",""
